card_status	expiry	amount	balance	daily_remaining	monthly_remaining	terminal_type	mcc
EXPIRED	PAST	90003	100000	100000	100000	ECOM	5411
INACTIVE	CURRENT	100000	200000	200000	200000	ATM	5812
INACTIVE	FUTURE	100001	200000	100000	200000	POS	5411
EXPIRED	PAST	100001	100000	200000	100000	ATM	5812
EXPIRED	PAST	100000	200000	100000	100000	POS	5812
BLOCKED	CURRENT	90003	100000	200000	200000	POS	5411
ACTIVE	FUTURE	100000	100000	100000	100000	ATM	5411
ACTIVE	FUTURE	90003	200000	200000	200000	POS	5812
ACTIVE	PAST	100001	200000	200000	200000	ECOM	5812
BLOCKED	FUTURE	100000	200000	100000	100000	ECOM	5812
BLOCKED	PAST	90003	200000	200000	200000	ATM	5812
INACTIVE	PAST	90003	100000	100000	100000	ECOM	5411
BLOCKED	CURRENT	100001	100000	100000	100000	ECOM	5411
EXPIRED	PAST	100000	100000	100000	200000	POS	5411
ACTIVE	CURRENT	100000	100000	100000	100000	POS	5812
